All,Visi
"Save and Continue Edit","Išsaugoti ir tęsti redagavimą"
"Default Content","Numatytasis turinys"
"No Default Content","Jokio numatytojo turinio"
Rule,Taisyklė
"Start Date","Pradžios data"
"End Date","Pabaigos data"
Active,Aktyvus
Inactive,Neaktyvus
"Applies To",Taikomas
Visibility,Matomumas
Position,Rikiavimas
"This rule no longer exists.","Ši taisyklė nebeegzistuoja."
"Please, enter valid Credit Card Number","Prašome įvesti galiojantį kortelės numerį"
"Please, enter valid Expiration Date","Įveskite galiojančią galiojimo datą"
"Please, enter valid Card Verification Number","Prašome įvesti galiojantį kortelės patvirtinimo numerį"
"Credit Card Information","Kreditinės kortelės informacija"
"Save for later use.","Išsaugoti vėlesniam naudojimui."
Phone,Telefonas
"First name is too long.","Vardas yra per ilgas."
"Last name is too long.","Pavardė per ilga."
Select...,Pasirinkite...
"Order ID","Užsakymo nr."
Month,Mėnuo
Year,Metai
or,arba
"* Required Fields","* Privalomi laukai"
"Billing Address","Mokėtojo Adresas"
Company,Įmonė
Address,Adresas
State/Province,Rajonas/apskritis
"Zip/Postal Code","Pašto kodas"
N/A,N/D
"Add Selected Products","Pridėti pasirinktus produktus"
Ordered,Užsakyta
Canceled,Atšauktas
"Regular Price","Įprasta kaina"
Availability,Prieinamumas
"In stock",Sandėlyje
"Out of stock","Nėra sandėlyje"
Availability:,Prieinamumas:
Message:,Žinutė:
"Product Name","Prekės pavadinimas"
"Qty Invoiced","Kiekis išrašytoje SF"
"Qty Shipped","Išsiųstas kiekis"
"Incorrect CAPTCHA","Neteisingi paveikslėlio duomenys"
"Incorrect CAPTCHA.","Neteisingi paveikslėlio duomenys."
"Reload captcha",Atnaujinti
"Please type the letters and numbers below","Įveskite raides ir skaičius žemiau"
Day,Diena
"Add Product","Pridėti produktą"
label,etiketė
"Add New Attribute","Pridėti naują atributą"
"Visible in Advanced Search","Matoma išplėstinėje paieškoje"
"Go to Home Page","Grįžti į pradinį puslapį"
"Click for price","Tikrinti kainą"
Categories,Kategorijos
"You removed product %1 from the comparison list.","Jūs pašalinote produktą %1 iš palyginimo sąrašo."
"%1 items","%1 įrašai(-ų)"
"Are you sure you want to remove this item from your Compare Products list?","Ar tikrai norite pašalinti šį produktą iš palyginimo sąrašo?"
message,žinutė
name,vardas
"In Stock",Sandėlyje
"Out of Stock","Nėra sandėlyje"
"Compare Products","Prekių palyginimas"
"Print This Page","Spausdinti šį puslapį"
"Remove Product","Pašalinti produktą"
"Add to Wish List","Į pageidavimų sąrašą"
"You have no items to compare.","Jūs nepasirinkote prekių palyginimui."
"Remove This Item","Pašalinti šią prekę"
Compare,Palyginti
"Clear All","Išvalyti viską"
Prev,Atgal
"We can't find products matching the selection.","Nėra jokių prekių, atitinkančių pasirinkimą."
"Add to Compare","Pridėti palyginimui"
"Items %1-%2 of %3","Prekių %1-%2 iš %3"
"%1 Item","%1 įrašas"
"%1 Items","%1 Įrašai(-ų)"
Show,Rodyti
"Sort By","Rūšiuoti pagal"
"More Information","Daugiau informacijos"
OK,Gerai
Adding...,Dedama...
Added,Pridėta
"Add to Wishlist","Pridėti į pageidavimų sąrašą"
"Meta Keywords","Meta Raktažodžiai"
Layout,Išdėstymas
"Add To Cart","Į krepšelį"
"Add To Compare","Pridėti palyginimui"
"You cannot add ""%1"" to the cart.","Negalite pridėti ""% 1"" į krepšelį."
Priority,Prioritetas
"Update Information","Atnaujinti informaciją"
Conditions,Sąlygos
"Discount Amount",Nuolaida
"Start Time","Pradžios laikas"
"End Time","Pabaigos laikas"
"Catalog Advanced Search","Katalogo Išplėstinė Paieška"
"Advanced Search Results","Išplėstinės paieškos rezultatai"
"Search results for: '%1'","Paieškos rezultatai: ""%1"""
"Search Settings","Paieškos nustatymai"
"Advanced Search","Išplėstinė paieška"
"Your search returned no results.","Pagal jūsų ieškotą frazę prekių nebuvo rasta."
"Popular Search Terms","Populiariausi paieškos terminai"
Preview,Peržiūra
"My Cart (1 item)","Mano krepšelis (1 prekė)"
"My Cart (%1 items)","Mano krepšelis (%1 prekės)"
"My Cart","Mano krepšelis"
"For delivery questions.","Pristatymo klausimais."
"Your session has expired","Jūsų sesijos laikas baigėsi"
"A letter with further instructions will be sent to your email.","Laiškas su tolesnėmis instrukcijomis bus išsiųstas į jūsų elektroninio pašto adresą."
"You used coupon code ""%1"".","Panaudotas kupono kodas ""%1""."
"You canceled the coupon code.","Jūs atšaukėte kupono kodą."
"We cannot apply the coupon code.","Mes negalime pritaikyti kupono kodą."
Checkout,Pirkti
"Page not found.","Puslapis nerastas."
"Payment Method","Mokėjimo būdas"
" item"," prekė"
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Turėsite aktyvuoti savo paskyrą. Jūsų el. paštu išsiuntėme laišką su aktyvavimo nuoroda. Jeigu jūs negavote laiško <a href=""%1""> paspaudę čia</a> išsiūsime naują."
"Load customer quote error","Įkelto kliento klaida"
Error!,Klaida!
"DB exception","Duomenų bazės klaida"
"Print receipt","Spausdinti kvitą"
"Apply Discount Code","Įvesk nuolaidos kodą"
"Enter discount code","Nuolaidos kodas"
"Apply Discount","Pritaikyti nuolaidą"
"Cancel Coupon","Atšaukti kuponą"
"Continue Shopping","Tęsti apsipirkimą"
"Clear Shopping Cart","Išvalyti krepšelį"
"Update Shopping Cart","Atnaujinti krepšelį"
"Update Cart","Atnaujinti krepšelį"
"You have no items in your shopping cart.","Jūs neturite prekių savo krepšelyje."
"Click <a href=""%1"">here</a> to continue shopping.","Spauskite <a href=""%1"">čia</a> norėdami tęsti apsipirkimą."
"Estimate Shipping and Tax","Įvertinti siuntimo išlaidas ir mokesčius"
"Order #","Užsakymo nr."
"Proceed to Checkout","Pradėti pirkimą"
"Your order number is: %1.","Jūsų užsakymo nr.: %1."
"Your order # is: <span>%1</span>.","Jūsų užsakymo nr.: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","El. paštu gausite užsakymo patvirtinimą."
Total:,"Iš viso:"
"Shipping Address:","Pristatymo Adresas:"
"Shipping Method:","Pristatymo būdas:"
"Payment Method:","Mokėjimo būdas:"
"Sign In",Prisijungti
"Email Address","El. paštas"
"Forgot Your Password?","Pamiršote slaptažodį?"
"My billing and shipping address are the same","Mano pristatymo bei atsiskaitymo adresas yra tas pats"
Update,Atnaujinti
"Save in address book","Įrašyti adresų knygelėje"
"Estimated Total","Numatoma suma"
"You can create an account after checkout.","Jūs galėsite sukurtį paskyra po užsakymo."
"You already have an account with us. Sign in or continue as guest.","Jūs jau turite sąskaitą pas mus. Prisijunkite arba tęskite kaip svečias."
Login,Prisijungti
"See Details","Peržiūrėti detales"
"Cart Subtotal","Krepšelio tarpinė suma"
"You can track your order status by creating an account.","Savo užsakymo būseną galite sekti ir sukūrus savo paskyrą."
"Edit Your Cart","Redaguoti krepšelį"
"Ship Here","Siųsti čia"
"Ship To:",Gavėjas:
edit,redaguoti
"Order Summary","Užsakymo santrauka"
"View and Edit Cart","Peržiūrėti ir redaguoti krepšelį"
"Provided Zip/Postal Code seems to be invalid.","Jūsų įvesto pašto kodo struktūra netinkama."
" Example: "," Pavyzdys: "
"If you believe it is the right one you can ignore this notice.","Jei manote, kad įrašėte teisingai, galite ignoruoti šį pranešimą."
"New Address","Naujas adresas"
"Are you sure you would like to remove this item from the shopping cart?","Ar tikrai norite ištrinti šią prekę?"
"Review & Payments","Apmokėjimas & Patvirtinimas"
"Save Address","Išsaugoti adresą"
"Order Total","Užsakymo suma"
"Shipping Address","Pristatymo Adresas"
"We'll send your order confirmation here.","Čia išsiųsime užsakymo patvirtinimą."
"Not yet calculated","Dar nepaskaičiuota"
"Thank you for your purchase!","Dėkojame už jūsų užsakymą!"
"Item in Cart","Prekė krepšelyje"
"Items in Cart","Prekės krepšelyje"
"Terms and Conditions","Taisyklės ir Sąlygos"
"Checkout Conditions","Atsiskaitymo sąlygos"
"Checkout Terms and Conditions","Atsiskaitymo taisyklės ir sąlygos"
"Terms & Conditions","Taisyklės ir Sąlygos"
"Privacy and Cookie Policy","Privatumo ir slapukų politika"
"Email Address:","El. paštas:"
"First Name:",Vardas:
"Last Name:",Pavardė:
"Invalid login or password.","Neteisingas el. pašto adresas arba slaptažodis."
"Please select a region, state or province.","Prašome pasirinkti regioną, valstiją arba provinciją."
"Phone Number","Telefono numeris"
"You have no other address entries in your address book.","Jūsų adresų knygoje nėra kitų adresų įrašų."
Contacts,Kontaktai
"Create an Account","Sukurti paskyrą"
"When you sign in to your account, you will be able to:","Prisijungę galėsite:"
Comment,Komentaras
"My Orders","Mano užsakymai"
"Order # %1","Užsakymas #%1"
"This is a required field.","Tai yra privalomas laukas."
Date,Data
Add,Pridėti
Optional,Neprivaloma
"Some error","Kai kurios klaidos"
"Choose an Option...","Pasirinkti parinktį..."
save,išsaugoti
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Dėkojame už užklausą. Mes jums atsakyme kaip galima greičiau."
"Write Us","Parašykite mums"
"Jot us a note and we’ll get back to you as quickly as possible.","Parašykite mums! Atsakysime jums iškart, kai tik galėsime."
"What’s on your mind?","Jūsų klausimas"
"Contact Form","Kontaktų Forma"
"Contact Us",Kontaktai
"Email Options","El. pašto parinktys"
Daily,Kasdien
Weekly,"Kas savaitę"
Monthly,"Kas mėnesį"
Yes/No,Taip/Ne
"You are subscribed to our newsletter.","Jūs esate užsiprenumeravę mūsų naujienlaiškį."
"You aren't subscribed to our newsletter.","Jūs nesate prisiregistravęs prie mūsų naujienlaiškio."
"You have not set a default shipping address.","Nenustatė pagrindinio pristatymo adreso."
"You have not set a default billing address.","Nenustatė pagrindinio atsiskaitymo adreso."
"Address Book","Mano Adresai"
"Edit Address","Redaguoti adresą"
"Add New Address","Pridėti naują adresą"
"Reset Password","Atstatyti slaptažodį"
Newsletter,Naujienlaiškis
"Thank you for registering with %1.","Ačiū, kad užsiregistravote %1."
"Please make sure your passwords match.","Įsitikinkite ar jūsų slaptažodžiai sutampa."
"You saved the account information.","Jūs išsaugojote paskyros informaciją."
"Please enter your email.","Įveskite savo el. pašto adresą."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Jei sąskaita bus susijusiu %1, gausite el. laišką su nuoroda iš naujo nustatyti slaptažodį."
"You saved the address.","Adresas išsaugotas."
"Login successful.","Sėkmingai prisijungėte."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Slaptažodyje minimalus skirtingų tipų simbolių turi būti %1. Tipai simbolių: mažosios, didžiosio raidės, skaitmenys, specialūs simboliai."
"VAT Number is valid.","PVM mokėtojo kodas yra teisingas."
"Please enter a valid VAT number.","Prašome įvesti tinkama PVM mokėtojo kodą."
"Personal Information","Asmeninė informacija"
"Default Billing Address","Numatytasis atsiskaitymo adresas"
"Manage Addresses","Redaguoti adresus"
"Default Shipping Address","Pristatymo adresas"
"Contact Information","Kontaktinė informacija"
"Change Password","Keisti slaptažodį"
Newsletters,Naujienlaiškis
"You are subscribed to ""General Subscription"".","Jūs užsiprenumeravote ""Bendra Prenumerata""."
"Default Addresses",Adresai
"Change Billing Address","Keisti atsiskaitymo adresą"
"You have no default billing address in your address book.","Jūs neturi jokių priskirtų adresų."
"Change Shipping Address","Keisti pristatymo adresą"
"Additional Address Entries","Papildomi Adresai"
"Street Address %1","Adresas %1"
"It's a default billing address.","Tai yra pagrindinis atsiskaitymo adresas."
"Use as my default billing address","Naudoti kaip pagrindinį atsiskaitymo adresą"
"It's a default shipping address.","Tai yra pagrindinis pristatymo adresas."
"Use as my default shipping address","Naudoti kaip pagrindinį pristatymo adresą"
"Go back",Atgal
"Change Email","Keisti el.paštą"
"Change Email and Password","Keisti el. pašto adresą ir slaptažodį"
"Current Password","Dabartinis slaptažodis"
"Password Strength","Slaptažodžio sudėtingumas"
"No Password","Jokio slaptažodžio"
"Confirm New Password","Patvirtinti naują slaptažodį"
"Please enter your email address below to receive a password reset link.","Įveskite savo el. paštą, norėdami gauti slaptažodžio atstatymo nuorodą."
"Reset My Password","Atstatyti slaptažodį"
"Registered Customers","Registruotiems klientams"
"If you have an account, sign in with your email address.","Jeigu jau turite susikurę paskyrą, prisijunkite naudodami savo el. pašto adresą."
"Subscription option",Prenumeratos
"General Subscription","Bendra Prenumerata"
"Sign Up for Newsletter","Užsisakykite naujienlaiškį"
"Sign-in Information","Prisijungimo informacija"
"Confirm Password","Patvirtinkite slaptažodį"
"Set a New Password","Nustatyti naują slaptažodį"
"You have signed out and will go to our homepage in 5 seconds.","Išsiregistravote. Už 5 sekundžių būsite nukreipti į pradinį puslapį."
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Paskyros sukūrimas turi daug privalumų: greitesnis atsiskaitymas, galimybe įvesti daugiau nei vieną pristatymo adresą, sekti užsakymus ir dar daugiau."
Fax,Faksas
"Welcome to %store_name","Sveiki atvykę į %store_name"
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Norėdami prisijungti, naudokite šiuos duomenis kurdami užsakymą arba <a href=""%customer_url"">Paskyra</a> puslapyje:"
Email:,"El. paštas:"
Password:,Slaptažodis:
"Password you set when creating account","Slaptažodis kurį nurodėte registruojantis"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Pamiršote savo slaptažodį? Spustelėkite <a href=""%reset_url""> čia</a> norėdami jį atkurti."
"Proceed through checkout faster","Greičiau apsipirkti"
"Check the status of orders","Tikrinti užsakymų būklę"
"View past orders","Peržiūrėti buvusius užsakymus"
"Store alternative addresses (for shipping to multiple family members and friends)","Nustatyti alternatyvius pristatymo adresus, kad prekės galėtų būti pristatytos šeimos nariams ar draugams"
"Confirm Your Account","Patvirtinkite savo paskyrą"
"Thank you for confirming your %store_name account.","Dėkojame patvirtinus %store_name paskyrą."
"Are you sure you want to delete this address?","Jūs įsitikinęs, kad norite ištrinti šį adresą?"
Weak,Silpnas
Medium,Vidutinis
Strong,Stiprus
"Very Strong","Labai stiprus"
"Always optional.","Visada neprivaloma."
"Billing Lastname","Mokėtojo pavardė"
"Edit Account Information","Redaguoti paskyros informaciją"
"Password forgotten","Pamirštas slaptažodis"
"You are signed out",Atsijungėte
"More information","Daugiau informacijos"
"Newsletter Subscription","Naujienlaiškio prenumerata"
"Order Status","Užsakymo būsena"
ordered,užsakyta
"Wish List","Pageidavimų sąrašas"
"Grand Total","Iš Viso"
Continue,Tęsti
"Zip/Postal Code is Optional for","Pašto kodas yra neprivalomas"
"My Downloadable Products","Mano atsisiunčiami produktai"
Pending,Laukiama
"Go to <a href=""%1"">My Downloadable Products</a>","Eiti į <a href=""%1"">Mano atsisiunčiamus produktus</a>"
"View Order","Peržiūrėti užsakymą"
"You have not purchased any downloadable products yet.","Jūs neturite atsiunčiamų produktų."
"Thank you, %store_name","Ačiū, %store_name"
"Private Sales","Privatųs pardavimai"
"Order #%1.","Užsakymas #%1."
"Remove Item",Ištrinti
"Sharing Information","Dalinimosi informacija"
Short,Trumpas
"Please select a region, state or province","Prašome pasirinkti regioną, valstiją arba provinciją"
"Please enter at least 2 letters of the last name.","Prašome įvesti bent 2 raides pavardės."
"Please enter a valid email address.","Prašome įvesti galiojantį el. pašto adresą."
"Please enter the quantity of items to add to cart.","Įveskite prekių, kurias norite įtraukti į krepšelį, kiekį."
"Please enter the message.","Prašome įvesti žinutę."
"Please enter the first name.","Prašome įvesti vardą."
"Please enter the last name.","Įveskite pavardę."
"Please enter a valid email address(for example, daniel@x.com).","Prašome įvesti galiojantį el. pašto adresą (pvz., jonas@jonaitis.com)."
"Required Fields","Privalomi laukai"
"Search Options","Paieškos nustatymai"
"Search Results","Paieškos rezultatai"
"Search By","Ieškoti pagal"
Filter,Filtruoti
Processing,Vykdoma
"Shipping Method","Pristatymo būdas"
"No permissions requested","Jokių leidimų užklausų"
"Available APIs","Prieinami API"
"Resource Access","Resursų prieiga"
Resources,Resursai
"Integrations API Configuration","Integracijos API konfigūracija"
item,prekė
"Forgot Password","Pamiršau slaptažodį"
Reorder,"Užsakyti iš naujo"
Print,Spausdinti
Partners,Partneriai
"Magento Marketplace","Magento prekyvietė"
"Platinum Partners","Platininiai partneriai"
"Featured Platinum Partners","Rekomenduojami platininiai partneriai"
"Partner search","Partnerių paieška"
"More Partners","Daugiau partnerių"
"Visit Magento Marketplaces","Apsilankykite Magento prekyvietę"
"Read More","Skaityti daugiau"
"Partner Page","Partnerių puslapis"
"No partners were found","Nerasta jokių partnerių"
Wishlist,"Pageidavimų sąrašas"
"My Wish Lists","Mano norų sąrašas"
"1 item in wish list","1 prekė pageidavimų sąraše"
"%1 items in wish list","%1 prekės pageidavimų sąraše"
"We can't add the item to shopping cart.","Negalime pridėti šios prekės į jūsų krepšelį."
"Product(s) %1 have required options. Each product can only be added individually.","%1 Produktas(ai) turi privalomus pasirinkimus. Kiekvienas produktas gali būti pridėtas tik individualiai."
"%1 product(s) have been added to shopping cart: %2.","%1 produktas(-ų) buvo pridėta į pirkinių krepšelį: %2."
"%1's Wish List","%1's pageidavimų sąrašas"
"You must select items to add to the cart.","Turite pasirinkti prekes, kurias norite pridėti į krepšelį."
"Copy to Wish List","Kopijuoti į pageidavimų sąrašą"
"Move Selected to Wish List","Perkelti pasirinkimus į pageidavimų sąrašą"
"Copy Selected to Wish List","Kopijuoti pasirinkimus į pageidavimų sąrašą"
"My Wish Lists Link","Mano norų sąrašo nuoroda"
"Shipping Methods","Pristatymo būdai"
"Enter a New Address","Įveskite naują adresą"
"Edit Items","Redaguoti elementus"
"Shipping To",Pristatymas
"Order Review","Užsakymo peržiūra"
"Grand Total:","Iš Viso:"
"Select Shipping Method","Pasirinkite pristatymo būdą"
"Ship to:",Gavėjas:
"Subtotal (Incl. Tax)","Iš viso (su PVM)"
"Subtotal (Excl. Tax)","Tarpinė suma (be mokesčių)"
"Shipping & Handling","Pristatymas ir Paruošimas"
Qty:,Kiekis:
"Thank you,","Ačiū,"
"Cancel coupon","Atšaukti kuponą"
"Go to Checkout","Pereiti prie apmokėjimo"
"Thank you for your subscription.","Sėkmingai užprenumeravote naujienlaiškį."
Cancelled,Atšauktas
"Newsletter Message Preview","Naujienlaiškio pranešimo peržiūra"
"Sign Up for Our Newsletter:","Užsisakykite naujienlaiškį:"
"Enter your email address","Įveskite savo el.pašto adresą"
Subscribe,Prenumeruoti
"You have been successfully subscribed to our newsletter.","Jūs sėkmingai užsiprenumeravote mūsų naujienlaiškį."
"You have been unsubscribed from the newsletter.","Jūs buvote ištrintas iš mūsų naujienlaiškio."
Subscriber,Prenumeratorius
"Customer First Name","Kliento vardas"
"Customer Last Name","Kliento pavardė"
Subscribed,Prenumeruojamas
"Newsletter Subscriptions","Naujienlaiškių prenumeratos"
"Bank Transfer Payment","Banko pavedimu"
"Cash On Delivery Payment","Grynais pinigais pristatymo metu"
"Free Shipping","Nemokamas pristatymas"
Help,Pagalba
here,čia
"Ship To",Gavėjas
"Continue to PayPal","Tęsti su PayPal"
"Home Page","Pradinis puslapis"
"Remember Me","Prisiminti mane"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Pažymėti &quot;prisiminti mane&quot;, kad galėtumėt prieiti prie jūsų pirkinių krepšelio šiame kompiuteryje, net jei jūs neprisijungęs prie savo sąskaitos."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","Pažymėti ""prisiminti mane"", kad galėtumėt prieiti prie jūsų pirkinių krepšelio šiame kompiuteryje, net jei jūs neprisijungęs prie savo sąskaitos."
Price:,Kaina:
"Notify me when the price drops","Praneškite man, kai kaina kris"
"Notify me when this product is in stock","Praneškite man, kai ši prekės atsiras sandėlyje"
"This shipping method is not available. To use this shipping method, please contact us.","Šis pristatymo būdas neprieinamas. Jei norite pasinaudoti šiuo pristatymo būdą, prašome susisiekti su mumis."
subtotal,"tarpinė suma"
"grand total","iš viso"
Detail,Išsamiau
Review,Atsiliepimas
Reviews,Atsiliepimai
"Search Terms","Paieškos terminai"
"Edit item","Redaguoti elementą"
Ok,Gerai
Nickname,Slapyvardis
"Reviews %1","Atsiliepimai %1"
"My Product Reviews","Mano produktų apžvalgos"
"Please enter a nickname.","Prašome įvesti slapyvardį."
"You have submitted no reviews.","Jūs nepateikėte atsiliepimų."
"View All","Peržiūrėti visus"
"Be the first to review this product","Būkite pirmas palikęs atsiliepimą"
"Write Your Own Review","Parašykite savo atsiliepimą"
"You're reviewing:","Jūsų Atsiliepimas apie:"
"Submit Review","Pridėti Atsiliepimą"
"Review by","Peržiūrėti pagal"
"Page not found","Puslapis nerastas"
"Order # ","Užsakymo nr."
"Ordered: ","Užsakyta: "
"Track this shipment","Sekti šią siuntą"
Invoices,Sąskaitos
"Items Ordered","Užsakytos prekės"
"Last Ordered Items","Paskutinės užsakytos prekės"
"Order History","Užsakymų istorija"
"Order Information","Užsakymo informacija"
"Order Shipments","Užsakymo siuntimai"
"Discount (%1)","Nuolaida (%1)"
"Back to My Orders","Atgal į mano užsakymus"
"View Another Order","Žiūrėti kitą užsakymą"
"Orders and Returns","Užsakymai ir Grąžinimai"
"You entered incorrect data. Please try again.","Įvedėte neteisingus duomenis. Bandykite dar kartą."
"Shipping Address: ","Pristatymo Adresas: "
"Billing Address: ","Atsiskaitymo Adresas: "
"Please enter the zip/postal code.","Įveskite pašto indeksą/kodą."
